id,nom_comm,code_insee,nom_rue,nom_axe,date_deb,date_fin,e_7h_8h,e_8h_9h,e_9h_10h,e_10h_11h,e_11h_12h,e_12h_13h,e_13h_14h,e_14h_15h,e_15h_16h,e_16h_17h,e_17h_18h,e_18h_19h,e_tot_am,e_tot_pm,e_tot_jour,moy_am,moy_pm,freq_max,h_freq_max,freq_min,h_freq_min,num_poste,num_ope,fid,geo_point_2d
54,Grenoble,38185,"Boulevard Agutte Sembat","Boulevard Agutte Sembat",20190926,20190926,18,22,9,9,14,22,20,13,12,38,34,34,72,173,245,14,25,38,"16h00 - 17h00",9,"09h00 - 10h00","OPE 160-1022","OPE 160",73,"45.18651200001902, 5.728224"
55,Grenoble,38185,"Boulevard Jean Pain","Boulevard Jean Pain",20200528,20200528,5,5,0,0,1,0,0,0,0,2,6,10,11,18,29,2,3,10,"18h00 - 19h00",0,"09h00 - 10h00","OPE 205-2050","OPE 205",74,"45.18569400001902, 5.733258000000001"
56,Grenoble,38185,"Boulevard Jean Pain","Boulevard Jean Pain",20200528,20200528,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,"14h00 - 15h00",0,"07h00 - 08h00","OPE 205-2051","OPE 205",75,"45.18589500001901, 5.733129"
57,Grenoble,38185,"Rue du Manège","Rue du Manège",20200528,20200528,1,2,0,0,1,0,1,2,2,0,1,1,4,7,11,1,1,2,"08h00 - 09h00",0,"09h00 - 10h00","OPE 205-2052","OPE 205",76,"45.18564700001902, 5.732141"
58,Grenoble,38185,"Rue du Manège","Rue du Manège",20200528,20200528,0,4,1,0,1,0,7,9,3,7,3,2,6,31,37,1,4,9,"14h00 - 15h00",0,"07h00 - 08h00","OPE 205-2053","OPE 205",77,"45.185701000019, 5.731907999999998"
59,Grenoble,38185,"Boulevard Maréchal Lyautey","Boulevard Maréchal Lyautey",20200528,20200528,4,8,19,7,16,8,13,17,8,33,21,32,54,132,186,11,19,33,"16h00 - 17h00",4,"07h00 - 08h00","OPE 205-2054","OPE 205",78,"45.18556800001901, 5.730247000000001"
60,Grenoble,38185,"Boulevard Maréchal Lyautey","Boulevard Maréchal Lyautey",20200528,20200528,3,0,1,4,1,2,2,5,7,14,9,3,9,42,51,2,6,14,"16h00 - 17h00",0,"08h00 - 09h00","OPE 205-2055","OPE 205",79,"45.18573800001902, 5.730309999999999"
61,Grenoble,38185,"Rue Jean Bistési","Rue Jean Bistési",20200528,20200528,0,2,2,0,1,0,3,2,2,3,0,2,5,12,17,1,2,3,"13h00 - 14h00",0,"07h00 - 08h00","OPE 205-2056","OPE 205",80,"45.184739000019015, 5.731779999999998"
62,Grenoble,38185,"Rue Jean Bistési","Rue Jean Bistési",20200528,20200528,4,4,6,4,1,4,4,3,6,8,7,7,19,39,58,4,6,8,"16h00 - 17h00",1,"11h00 - 12h00","OPE 205-2057","OPE 205",81,"45.184767000019015, 5.731569000000001"
63,Grenoble,38185,"Place Paul Mistral","Place Paul Mistral",20200528,20200528,0,1,1,1,0,0,0,2,1,2,8,7,3,20,23,1,3,8,"17h00 - 18h00",0,"07h00 - 08h00","OPE 205-2058","OPE 205",82,"45.185068000019015, 5.732668999999999"
64,Grenoble,38185,"Place Paul Mistral","Place Paul Mistral",20200528,20200528,5,11,13,5,8,7,0,8,10,15,17,19,42,76,118,8,11,19,"18h00 - 19h00",0,"13h00 - 14h00","OPE 205-2059","OPE 205",83,"45.18497600001902, 5.732359999999999"
65,Vif,38545,"Boulevard Faidherbe","Boulevard Faidherbe",20200702,20200702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"08h00 - 09h00",0,"08h00 - 09h00","OPE 215-P01A","OPE 215",84,"45.056071000019365, 5.667688"
66,Vif,38545,"Boulevard Faidherbe","Boulevard Faidherbe",20200702,20200702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"08h00 - 09h00",0,"08h00 - 09h00","OPE 215-P01B","OPE 215",85,"45.05612500001938, 5.667701"
67,Vif,38545,"Avenue de Rivalta Di Torino","Avenue de Rivalta Di Torino",20200702,20200702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"08h00 - 09h00",0,"08h00 - 09h00","OPE 215-P02A","OPE 215",86,"45.05479800001937, 5.672677999999999"
68,Vif,38545,"Avenue de Rivalta Di Torino","Avenue de Rivalta Di Torino",20200702,20200702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"08h00 - 09h00",0,"08h00 - 09h00","OPE 215-P02B","OPE 215",87,"45.05485700001938, 5.672723000000001"
69,Vif,38545,"Avenue de Rivalta Di Torino","Avenue de Rivalta Di Torino",20200702,20200702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"08h00 - 09h00",0,"08h00 - 09h00","OPE 215-P03A","OPE 215",88,"45.05360100001938, 5.675234"
70,Vif,38545,"Avenue de Rivalta Di Torino","Avenue de Rivalta Di Torino",20200702,20200702,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,"09h00 - 10h00",0,"08h00 - 09h00","OPE 215-P03B","OPE 215",89,"45.053664000019374, 5.675294"
71,Vif,38545,"Rue du Portail Rouge","Rue du Portail Rouge",20200702,20200702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"08h00 - 09h00",0,"08h00 - 09h00","OPE 215-P04","OPE 215",90,"45.05314700001937, 5.673187999999999"
72,Vif,38545,"Rue du Portail Rouge","Rue du Portail Rouge",20200702,20200702,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,"08h00 - 09h00",0,"09h00 - 10h00","OPE 215-P05","OPE 215",91,"45.053308000019385, 5.671189999999998"
73,Vif,38545,"Rue Champollion","Rue Champollion",20200702,20200702,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,"09h00 - 10h00",0,"08h00 - 09h00","OPE 215-P06A","OPE 215",92,"45.05515900001939, 5.66933"
74,Vif,38545,"Rue Champollion","Rue Champollion",20200702,20200702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"08h00 - 09h00",0,"08h00 - 09h00","OPE 215-P06B","OPE 215",93,"45.055160000019384, 5.669393999999998"
75,Vif,38545,"Place des 11 Otages","Place des 11 Otages",20200702,20200702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"08h00 - 09h00",0,"08h00 - 09h00","OPE 215-P07A","OPE 215",94,"45.05500700001939, 5.669169"
