mob_arce_id,geo_point_2d,mob_arce_nb,mob_arce_typ,mob_arce_datecre
723,"45.1636535323394,5.72780664441436",12,"nouveau modèle",20090101000000
724,"45.1645956910527,5.72677655182231",2,"nouveau modèle",20010101000000
725,"45.1645523222721,5.72573940928314",2,"nouveau modèle",20100101000000
726,"45.1646648486688,5.7251128575663",2,"nouveau modèle",20010101000000
727,"45.164723099963,5.72784449207246",2,"nouveau modèle",20050101000000
728,"45.1647226012862,5.72781363991919",2,"nouveau modèle",20050101000000
729,"45.165470540998,5.72539413496068",2,"nouveau modèle",20040101000000
730,"45.1654500725376,5.72442401217985",1,"nouveau modèle",20040101000000
731,"45.1653649176213,5.72402886076501",2,"nouveau modèle",20040101000000
732,"45.1653724254681,5.72452437030343",2,"nouveau modèle",20050101000000
733,"45.1657964171103,5.72671963671394",2,"nouveau modèle",20040101000000
734,"45.1664091430399,5.72353838383888",3,"nouveau modèle",20070101000000
735,"45.1660676126639,5.72355942791677",2,"nouveau modèle",20070101000000
736,"45.166392161048,5.72389958698021",2,"nouveau modèle",20050101000000
737,"45.1675631634656,5.72341694199384",3,"nouveau modèle",20080101000000
738,"45.1665065610737,5.72441837566528",1,"nouveau modèle",20050101000000
739,"45.1663947333899,5.72453216289892",1,"nouveau modèle",20050101000000
740,"45.1665242796708,5.72543598556764",1,"nouveau modèle",20050101000000
741,"45.166420791369,5.72535395795917",1,"nouveau modèle",20050101000000
742,"45.1665473054214,5.72602079820696",1,"nouveau modèle",20050101000000
743,"45.1665004073373,5.72780279796455",3,"nouveau modèle",20070101000000
744,"45.1664679132419,5.72833166532908",3,"nouveau modèle",20070101000000
745,"45.166420587683,5.72831647027219",3,"nouveau modèle",20070101000000
746,"45.1663696078304,5.72831879550943",3,"nouveau modèle",20070101000000
747,"45.1656936828999,5.72834420897601",3,"nouveau modèle",20070101000000
748,"45.1656575409244,5.72834179773256",3,"nouveau modèle",20070101000000
749,"45.1658724766319,5.72833808901708",3,"nouveau modèle",20070101000000
750,"45.1658425094159,5.7283407288142",3,"nouveau modèle",20070101000000
971,"45.1834649691066,5.72632682721803",3,"nouveau modèle",20100101000000
972,"45.1606864513448,5.7244660728569",3,"nouveau modèle",20100101000000
973,"45.1914444718172,5.71062565521253",2,"nouveau modèle",20100101000000
974,"45.1912702223931,5.71097565975955",2,"nouveau modèle",20100101000000
975,"45.1910445469263,5.71142005996454",8,"nouveau modèle",20150601000000
976,"45.1895031535556,5.71924546573691",3,"nouveau modèle",20100101000000
977,"45.1918718344633,5.71344615051557",6,"nouveau modèle",20050101000000
978,"45.1883257056958,5.70492511812713",11,"nouveau modèle",20100101000000
979,"45.1922217050921,5.71196335499134",14,"nouveau modèle",20090101000000
980,"45.1922933002754,5.73043773783163",5,"nouveau modèle",19900101000000
981,"45.1900433294579,5.72870895430931",4,"nouveau modèle",20100101000000
982,"45.1902079110965,5.72873594126739",4,"nouveau modèle",20100101000000
983,"45.1908504941863,5.72819531078778",5,"nouveau modèle",20100101000000
984,"45.1874291804151,5.73036207784247",3,"nouveau modèle",20100101000000
985,"45.1903534623628,5.73033946406741",3,"nouveau modèle",20100101000000
986,"45.1746742838322,5.708310464681",1,"nouveau modèle",20030101000000
987,"45.174518114636,5.70824073401386",2,"nouveau modèle",20110101000000
988,"45.1873887708687,5.70924438808074",4,"nouveau modèle",20110101000000
989,"45.1773980368976,5.72420355031377",3,"nouveau modèle",19900101000000
990,"45.1785909212301,5.73156294177818",3,"nouveau modèle",20100101000000
991,"45.1821144520404,5.73022892752221",2,"nouveau modèle",20100101000000
992,"45.1932393951784,5.73163109217651",2,"nouveau modèle",20110101000000
993,"45.1926362954071,5.72745591456493",5,"nouveau modèle",20110101000000
994,"45.1925793070081,5.72745349145912",7,"nouveau modèle",20110101000000
995,"45.1706695925605,5.74060154108173",7,"nouveau modèle",20100101000000
996,"45.1806794800704,5.73191030881487",2,"nouveau modèle",20100101000000
997,"45.1822727599074,5.73439630142182",5,"nouveau modèle",20110101000000
998,"45.1782045866776,5.7428466239511",4,"nouveau modèle",20110101000000
999,"45.1645815702283,5.73167267938224",2,"nouveau modèle",20100101000000
1000,"45.1800519260012,5.71283882604684",3,"nouveau modèle",20110101000000
1001,"45.1830873854631,5.72221275458225",11,"nouveau modèle",20110101000000
1002,"45.1903982738305,5.72778588485887",5,"nouveau modèle",20100101000000
1003,"45.1862530638915,5.74218179396406",5,"nouveau modèle",20080101000000
1004,"45.182671821994,5.7268336173095",2,"nouveau modèle",20110101000000
1005,"45.1825452792398,5.72674101534619",2,"nouveau modèle",20110101000000
1006,"45.1819516300885,5.72512719921963",4,"nouveau modèle",20110101000000
1007,"45.1820546001154,5.72502708352492",2,"nouveau modèle",20110101000000
1008,"45.1820431150119,5.72485977011739",3,"nouveau modèle",20110101000000
1009,"45.1818718574468,5.72390688912543",3,"nouveau modèle",20110101000000
1010,"45.1824621141004,5.72364292555329",3,"nouveau modèle",20110101000000
1011,"45.182861603633,5.7217104995798",1,"nouveau modèle",20110101000000
1012,"45.188097872361,5.72328613785247",2,"nouveau modèle",19900101000000
1013,"45.1872189715606,5.72386005517977",4,"nouveau modèle",19900101000000
1014,"45.1858515952847,5.72868103802153",3,"nouveau modèle",20140917000000
1103,"45.185737567316,5.70585235407789",2,"nouveau modèle",20120101000000
1104,"45.1777007915711,5.74421855474037",4,"nouveau modèle",20120101000000
1105,"45.1618320235865,5.73251897268937",3,"nouveau modèle",20120101000000
1106,"45.1820893338507,5.7387003038224",3,"nouveau modèle",20120101000000
1107,"45.1860197615354,5.70708280646584",3,"nouveau modèle",20120101000000
1108,"45.1879376314115,5.71949516878925",2,"nouveau modèle",20120101000000
1109,"45.1976551559353,5.74018850586408",3,"nouveau modèle",20120101000000
1110,"45.1889775365025,5.72568812564171",4,"nouveau modèle",20120101000000
1111,"45.1679439285541,5.72671973058123",4,"nouveau modèle",20120101000000
1112,"45.1902775161674,5.72466446283661",3,"nouveau modèle",20120101000000
1113,"45.1936077507846,5.71203113423081",3,"nouveau modèle",20120101000000
1114,"45.1933880089487,5.71447113573122",3,"nouveau modèle",20120101000000
1115,"45.1753166228446,5.74239276058224",3,"nouveau modèle",20120101000000
1116,"45.175184828166,5.72868596649828",2,"nouveau modèle",20120101000000
1117,"45.1874508823325,5.71739284384922",2,"nouveau modèle",20120101000000
1118,"45.1903167702087,5.72198701597118",2,"nouveau modèle",20120101000000
1119,"45.1901477723623,5.73615675289996",4,"nouveau modèle",20120101000000
1120,"45.1879884471222,5.72576654553213",4,"nouveau modèle",20120101000000
1121,"45.1878786695443,5.7264640630423",3,"nouveau modèle",20120101000000
1122,"45.1994696874177,5.73644213791136",2,"nouveau modèle",20120101000000
1123,"45.2005497370282,5.73719978938945",2,"nouveau modèle",20120101000000
1124,"45.1941881138093,5.7319540168173",4,"nouveau modèle",20120101000000
1125,"45.194683179746,5.73110223755246",2,"nouveau modèle",20120101000000
1126,"45.1824206526741,5.73913164394335",2,"nouveau modèle",20120101000000
1127,"45.1708348921289,5.73758665496474",3,"nouveau modèle",20120101000000
1128,"45.1701924800286,5.73225250313586",4,"nouveau modèle",20120101000000
1129,"45.1815666571703,5.72536371985084",3,"nouveau modèle",20120101000000
