geo_point_2d,nom,insee,adresse,type_usagers,gratuit,nb_places,nb_pr,hauteur_max,num_siret,tarif_pmr,tarif_1h,tarif_3h,tarif_4h,tarif_24h,abo_resident,abo_non_resident,type_ouvrage,type,commune,epci,nb_pmr,nb_velo,nb_covoit,url,nb_voitures_electriques,nb_2r_el,nb_autopartage,nb_2_rm,info
"45.10319,5.686464",VARCES - ROCHEFORT,38524,"D1075 Le grand rochefort, 38760, Varces-Allières-et-Risset",tous,1.0,101,101,190,30150323100039,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Varces-Allières-et-Risset,LaMetro,2.0,24.0,,,,,,,
"45.080562,5.774274",CHANTEFEUILLE,38562,"Avenue Maurice Thorez, 38220, Vizille",tous,1.0,70,70,330,30150323100039,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Vizille,LaMetro,3.0,24.0,,,,,,,
"45.357916,5.955165",GRANDES TERRES,38511,"D1090, 38660, Le Touvet",tous,1.0,50,50,330,20001816600245,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Le Touvet,LeGresivaudan,0.0,0.0,,,,,,,
"45.358791,5.491794",POLE D'ECHANGE RIVES,38337,"Avenue Jean Moulin, 38140, Rives",tous,1.0,150,150,330,24380098400029,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Rives,PaysVoironnais,3.0,2.0,,,,,,,
"45.368437,5.534624",GARE DE REAUMONT,38331,"Route des Etangs, 38140, Réaumont",tous,1.0,182,182,250,24380098400029,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Réaumont,PaysVoironnais,2.0,8.0,,,,,,,
"45.34235,5.526967",BOIS VERT,38084,"Route des Vergers, 38140, Charnècles",tous,1.0,10,10,330,24380098400029,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Charnècles,PaysVoironnais,0.0,0.0,,,,,,,
"45.350023,5.567297",CHAMPFEUILLET,38563,"Route des Bois, 38500, Voiron",tous,1.0,156,156,330,24380098400029,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Voiron,PaysVoironnais,3.0,6.0,,,,,,,
"45.361352,5.570962",LE PARVIS,38563,"Route du Louvasset, 38500, Voiron",tous,1.0,40,40,210,24380098400029,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Voiron,PaysVoironnais,2.0,6.0,,,,,,,
"45.364417,5.594703",POLE D'ECHANGE VOIRON,38563,"Place Pierre Sémard, 38500, Voiron",tous,,472,472,210,24380098400029,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Voiron,PaysVoironnais,4.0,12.0,,,,,,,
"45.365614,5.621509",CROIX BAYARD,38133,"Route de Voiron, 38500, Coublevie",tous,1.0,20,20,330,24380098400029,gratuit,,,,,,,enclos_en_surface,parking,Coublevie,PaysVoironnais,3.0,0.0,,,,,,,
"45.33235,5.615577",LE GAY GIRATOIRE,38061,"Rue des Ecoles, 38500, La Buisse",tous,1.0,93,93,330,24380098400029,gratuit,,,,,,,enclos_en_surface,parking,La Buisse,PaysVoironnais,3.0,14.0,,,,,,,
"45.321456,5.583609",POLE D'ECHANGE MOIRANS,38239,"Route de la Gare, 38500, Moirans",tous,,558,558,220,24380098400029,normal_payant,,,,,,,ouvrage,parking,Moirans,PaysVoironnais,3.0,20.0,,,,,,,
"45.290371,5.632736",POLE D'ECHANGE VOREPPE,38565,"Rue de la Gare, 38340, Voreppe",tous,1.0,270,270,330,24380098400029,gratuit,,,,,,,enclos_en_surface,parking,Voreppe,PaysVoironnais,1.0,8.0,,,,,,,
"45.301302,5.4922",POLE D'ECHANGE TULLINS,38517,"Avenue du 11 novembre, 38210, Tullins",tous,1.0,200,200,330,24380098400029,gratuit,,,,,,,enclos_en_surface,parking,Tullins,PaysVoironnais,7.0,10.0,,,,,,,
"45.24116594242951,5.848263731920618",POLE D'ECHANGE LA BATIE,38397,"chemin des Plantées, 38330, Saint-Ismier",tous,1.0,80,80,330,20001816600245,gratuit,,,,,,,enclos_en_surface,parking,Saint-Ismier,LeGresivaudan,2.0,20.0,,,,,,,
