id,geo_point_2d,date_debut,date_fin,vp_critair,vp_horaires,vul_critair,vul_horaires,pl_critair,pl_horaires,autobus_autocars_critair,autobus_autocars_horaires,deux_rm_critair,deux_rm_horaires,url_arrete,url_site,geo_shape
TRONROUT0000000008055746,"45.13775264,5.69006077",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.69006077,45.13775264],[5.69015589,45.13785125],[5.69025212,45.13794623],[5.69034834,45.13804121],[5.69044592,45.13813795],[5.69054351,45.1382347],[5.69063965,45.13832788],[5.69073201,45.13842205],[5.69082315,45.13851715],[5.69090934,45.13861508],[5.69098938,45.13871765],[5.69103328,45.13878326]]}"
TRONROUT0000000008055784,"45.13567822,5.69176072",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.69176072,45.13567822],[5.69169505,45.13566269],[5.69163137,45.1356354]]}"
TRONROUT0000000008055738,"45.13562524,5.69070805",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.69070805,45.13562524],[5.69003413,45.13571898]]}"
TRONROUT0000000008055783,"45.13531397,5.69192137",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.69192137,45.13531397],[5.69197716,45.13533605]]}"
TRONROUT0000000008055731,"45.13533605,5.69197716",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.69197716,45.13533605],[5.69203667,45.13538236],[5.69207339,45.13543103],[5.69208928,45.13547028],[5.6920971,45.13552685],[5.69208002,45.13556871]]}"
TRONROUT0000000008055732,"45.1356354,5.69163137",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.69163137,45.1356354],[5.69157707,45.13559166],[5.69154404,45.1355402],[5.69153381,45.13548639],[5.69155169,45.13543461],[5.69158464,45.13537886]]}"
TRONROUT0000000008055739,"45.1356354,5.69163137",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.69163137,45.1356354],[5.69141722,45.13560273],[5.69114581,45.13559666],[5.69092261,45.13561376],[5.69070805,45.13562524]]}"
TRONROUT0000000008055749,"45.13613952,5.68933266",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.68933266,45.13613952],[5.68929057,45.13613783],[5.68924945,45.13612981],[5.68921062,45.13611633],[5.68917665,45.13609823]]}"
TRONROUT0000000008055754,"45.13611051,5.68945218",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.68945218,45.13611051],[5.68954398,45.1361137],[5.68963937,45.13613843],[5.68976155,45.13621746],[5.68994831,45.13636882],[5.69007288,45.13649735],[5.69016507,45.13666721],[5.69026401,45.13692429],[5.69034016,45.13715759],[5.69041994,45.13741333],[5.69049173,45.1376089],[5.69053811,45.13769968],[5.69059207,45.13778937],[5.69065866,45.13787696],[5.69078988,45.13803776],[5.69093195,45.13823884],[5.69115734,45.1387163],[5.69131949,45.13901691]]}"
TRONROUT0000000008055756,"45.13567822,5.69176072",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.69176072,45.13567822],[5.69163885,45.13573792],[5.69155961,45.13578398],[5.69148991,45.13584332],[5.69143091,45.13591322],[5.69138102,45.1359874],[5.69135148,45.13606108],[5.69132635,45.13614728],[5.69128973,45.13649682],[5.69125445,45.13711211]]}"
