# Sensor Grenoble, France (Citizen Science project sensor.community/13222)
# https://aqicn.org/station/@60685/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-05-11T00:00:00.000Z,0,3.48,0.16,0.1,0.3,0.414,304
2020-05-12T00:00:00.000Z,0,7.22,0.84,0.2,3.91,2.232,418
2020-05-13T00:00:00.000Z,0.43,10.4,5.3,2.99,6.69,2.168,408
2020-05-14T00:00:00.000Z,0.6,7.5,4.03,1.27,5.8,2.156,403
2020-05-15T00:00:00.000Z,1.14,7.81,3.9,2.94,5.62,1.541,472
2020-05-16T00:00:00.000Z,2.18,9.41,3.81,3.28,4.92,1.771,295
2020-05-17T00:00:00.000Z,0.9,3.84,2.58,1.4,2.95,0.829,461
2020-05-18T00:00:00.000Z,1,3.3,2.06,1.58,2.5,0.551,400
2020-05-19T00:00:00.000Z,0.9,2.68,1.48,1.23,2.02,0.461,469
2020-05-20T00:00:00.000Z,0.8,1.8,1.14,1.04,1.35,0.21,136
2020-06-03T00:00:00.000Z,1.6,4.55,2.6,2.3,3.28,0.694,88
2020-06-04T00:00:00.000Z,0.88,15.18,1.9,1.6,2.35,1.116,454
2020-06-05T00:00:00.000Z,0.4,3.2,1.45,1,1.92,0.603,306
2020-06-06T00:00:00.000Z,0.1,3.25,0.6,0.2,1.05,0.581,423
2020-06-07T00:00:00.000Z,0.1,2.9,0.62,0.4,0.89,0.319,453
2020-06-08T00:00:00.000Z,0.2,2.72,0.7,0.6,0.81,0.236,444
2020-06-09T00:00:00.000Z,0.2,3.85,0.64,0.42,0.93,0.531,418
2020-06-10T00:00:00.000Z,2,14.95,5.8,4.4,9.19,2.946,435
2020-06-11T00:00:00.000Z,1.4,15.17,2.75,2.15,8.35,3.638,479
2020-06-12T00:00:00.000Z,0.4,68.9,1.32,0.98,2.04,3.688,487
2020-06-13T00:00:00.000Z,0.45,5.17,1.7,1.25,2.42,0.82,464
2020-06-14T00:00:00.000Z,0.2,7.92,0.7,0.5,0.82,0.6,315
2020-06-15T00:00:00.000Z,0.5,1.95,0.9,0.78,1.12,0.277,461
2020-06-16T00:00:00.000Z,0.35,3.22,1.3,0.98,1.71,0.549,492
2020-06-17T00:00:00.000Z,0.2,3.47,0.5,0.4,0.7,0.261,472
2020-06-18T00:00:00.000Z,0.2,6.33,0.78,0.56,0.95,0.437,443
2020-06-19T00:00:00.000Z,0.1,2.87,0.5,0.4,0.6,0.291,421
2020-06-20T00:00:00.000Z,0.3,4.55,0.6,0.5,0.8,0.3,496
2020-06-21T00:00:00.000Z,0.33,1.62,0.8,0.65,1.02,0.256,503
2020-06-22T00:00:00.000Z,0.45,2.35,1.1,0.8,1.42,0.406,479
2020-06-23T00:00:00.000Z,0.7,2.87,1.8,1.5,1.98,0.402,489
2020-06-24T00:00:00.000Z,1.12,4.17,2.5,1.8,2.87,0.645,505
2020-06-25T00:00:00.000Z,1.22,4.25,2.7,2.4,3.3,0.645,486
2020-06-26T00:00:00.000Z,0.75,5.08,2.49,1.61,3.1,0.908,440
2020-06-27T00:00:00.000Z,0.7,4.78,1.89,1.3,2.72,0.773,432
2020-06-28T00:00:00.000Z,1.5,11.25,2.4,2.15,2.65,0.864,407
2020-06-29T00:00:00.000Z,0.3,4.87,0.9,0.62,2.95,1.24,427
2020-06-30T00:00:00.000Z,0.4,2.67,0.9,0.7,1.17,0.327,414
2020-07-01T00:00:00.000Z,0.93,4.33,1.7,1.4,2.47,0.77,407
2020-07-02T00:00:00.000Z,0.33,4.25,1.6,1.2,2.06,0.791,405
2020-07-03T00:00:00.000Z,0.33,2.9,0.7,0.6,0.8,0.198,416
2020-07-04T00:00:00.000Z,0.5,4,0.9,0.8,1.1,0.358,436
2020-07-05T00:00:00.000Z,0.2,1.85,0.65,0.45,1.25,0.452,422
2020-07-06T00:00:00.000Z,0.3,1.47,0.7,0.5,0.8,0.203,245
2020-07-07T00:00:00.000Z,0.45,1.8,1.05,0.9,1.2,0.207,399
2020-07-08T00:00:00.000Z,0.47,2.29,1.17,1,1.37,0.292,394
2020-07-09T00:00:00.000Z,0.55,4.05,1.4,1.2,1.65,0.455,410
2020-07-10T00:00:00.000Z,0.5,3.72,1.7,1.31,2,0.504,396
2020-07-11T00:00:00.000Z,0.3,1.5,0.72,0.5,1,0.274,315
2020-07-12T00:00:00.000Z,0.5,2.52,1,0.88,1.1,0.209,387
2020-07-13T00:00:00.000Z,0.4,5.65,1.04,0.75,1.3,0.6,382
2020-07-14T00:00:00.000Z,0.6,2.87,1.1,0.9,1.25,0.271,396
2020-07-15T00:00:00.000Z,0.4,4.09,1.1,0.8,1.37,0.504,314
2020-07-16T00:00:00.000Z,0.33,2.15,1,0.82,1.2,0.288,292
2020-07-17T00:00:00.000Z,0.3,2.27,0.8,0.6,1.1,0.396,431
2020-07-18T00:00:00.000Z,0.5,4.03,1,0.85,1.2,0.348,409
2020-07-19T00:00:00.000Z,1,2.83,1.82,1.6,2.04,0.34,155
2020-07-20T00:00:00.000Z,1.3,3.33,2.15,1.82,2.71,0.51,169
2020-07-21T00:00:00.000Z,1.2,7.65,3.3,2.65,4.01,1.206,241
2020-07-22T00:00:00.000Z,0.95,7.83,2.29,2,2.9,0.908,246
2020-07-23T00:00:00.000Z,1.65,5.28,2.84,2.29,3.27,0.565,278
2020-07-24T00:00:00.000Z,0.45,5.67,1.1,0.78,2.86,1.085,344
2020-07-25T00:00:00.000Z,0.5,1.82,0.7,0.68,1.22,0.353,71
2020-07-26T00:00:00.000Z,0.3,6.55,1.05,0.78,1.3,0.566,391
2020-07-27T00:00:00.000Z,0.8,3.77,1.46,1.13,2.19,0.745,248
2020-07-28T00:00:00.000Z,1.25,25.88,2.98,2.52,3.25,3.217,375
2020-07-29T00:00:00.000Z,1.05,3.87,2.08,1.8,2.5,0.544,299
2020-07-30T00:00:00.000Z,2.27,10.95,4.09,3.37,4.53,1.006,378
2020-07-31T00:00:00.000Z,2.17,5.67,4.11,3.37,4.7,0.781,382
2020-08-01T00:00:00.000Z,1.65,8.13,4.42,3.35,5.3,1.432,379
2020-08-02T00:00:00.000Z,1.2,4.42,2.67,1.7,3.1,0.782,377
2020-08-03T00:00:00.000Z,1.02,2.9,1.72,1.47,1.95,0.38,187
2020-08-04T00:00:00.000Z,0.3,1.52,0.7,0.55,0.8,0.201,345
2020-08-05T00:00:00.000Z,0.4,3.1,1.17,0.95,1.35,0.42,459
2020-08-06T00:00:00.000Z,0.6,4.28,1.3,0.98,1.7,0.707,344
2020-08-07T00:00:00.000Z,0.4,468.1,1.72,1.35,2.04,22.043,447
2020-08-08T00:00:00.000Z,0.7,8.48,1.62,1.4,2.2,0.861,415
2020-08-09T00:00:00.000Z,1.32,4.4,2.1,1.9,2.27,0.352,467
2020-08-10T00:00:00.000Z,2.02,5.22,2.9,2.6,3.5,0.623,465
2020-08-11T00:00:00.000Z,0.98,10.98,2.4,2.02,2.6,0.673,453
2020-08-12T00:00:00.000Z,2.12,6.92,3.33,2.8,3.77,0.672,446
2020-08-13T00:00:00.000Z,2.65,19.5,4.33,3.7,5.04,1.205,469
2020-08-14T00:00:00.000Z,0.72,11.45,2.65,1.99,3.49,1.789,420
2020-08-15T00:00:00.000Z,0.88,7.95,2.12,1.65,2.42,0.637,463
2020-08-16T00:00:00.000Z,1.2,7.7,2,1.67,4.58,1.603,471
2020-08-17T00:00:00.000Z,0.62,7.67,2.34,1.6,4.08,1.541,466
2020-08-18T00:00:00.000Z,0.3,3.95,1.47,0.7,1.86,0.635,465
2020-08-19T00:00:00.000Z,0.33,8.68,1,0.7,1.22,0.68,458
2020-08-20T00:00:00.000Z,0.8,2.6,1.5,1.3,1.7,0.296,462
2020-08-21T00:00:00.000Z,0.8,4.2,1.2,1.07,1.5,0.44,455
2020-08-22T00:00:00.000Z,0,1.95,0.8,0.62,0.9,0.293,418
2020-08-23T00:00:00.000Z,0.3,1.52,0.7,0.55,0.9,0.231,429
2020-08-24T00:00:00.000Z,0.3,1.47,0.65,0.55,0.8,0.191,384
2020-08-25T00:00:00.000Z,0.6,5.8,1.12,0.9,1.4,0.559,385
2020-08-26T00:00:00.000Z,0.3,2.08,0.7,0.5,1,0.343,408
2020-08-27T00:00:00.000Z,0.3,3.15,0.9,0.7,1.3,0.473,421
2020-08-28T00:00:00.000Z,0.23,4.65,1.3,0.8,2.22,0.917,411
2020-08-29T00:00:00.000Z,0.3,5.45,1.37,0.85,2.13,0.904,420
2020-08-30T00:00:00.000Z,0.1,7.95,0.7,0.4,1.23,0.963,420
2020-08-31T00:00:00.000Z,0.2,2.2,0.47,0.35,0.7,0.375,418
2020-09-01T00:00:00.000Z,0.33,1.57,0.8,0.65,0.9,0.209,358
2020-09-02T00:00:00.000Z,0.4,4.53,1.05,0.8,1.45,0.496,406
2020-09-03T00:00:00.000Z,0.7,4.05,1.5,1.14,2,0.547,417
2020-09-04T00:00:00.000Z,0.72,4.3,2.1,1.51,2.54,0.657,429
2020-09-05T00:00:00.000Z,0.4,4.4,2.1,1.05,2.92,1.057,417
2020-09-06T00:00:00.000Z,0.5,1.92,0.8,0.7,0.93,0.191,420
2020-09-07T00:00:00.000Z,0.5,9.27,1.2,0.9,1.7,0.701,395
2020-09-08T00:00:00.000Z,1.14,4.4,1.98,1.7,2.37,0.498,347
2020-09-09T00:00:00.000Z,1.98,8.3,3.2,2.8,3.75,0.795,354
2020-09-10T00:00:00.000Z,0.8,18.75,3.6,1.92,4.61,1.81,316
2020-09-11T00:00:00.000Z,1.4,7.28,3.01,2.4,3.55,0.942,288
2020-09-12T00:00:00.000Z,1,8.69,3.65,2.87,4.25,1.195,277
2020-09-13T00:00:00.000Z,2.35,10.43,4.08,3.72,4.42,0.683,331
2020-09-14T00:00:00.000Z,3.92,7.7,5.4,5.03,6.02,0.714,273
2020-09-15T00:00:00.000Z,5.28,10.05,7.67,7.03,8.25,0.941,234
2020-09-16T00:00:00.000Z,6.78,9.25,7.75,7.45,8.23,0.56,35
2020-09-17T00:00:00.000Z,5.8,10.18,7.03,6.58,7.65,0.941,134
2020-09-18T00:00:00.000Z,4.9,18.6,6.75,5.98,8.11,1.454,304
2020-09-19T00:00:00.000Z,2.6,19.75,8.3,6.53,10.18,2.801,291
2020-09-20T00:00:00.000Z,4.37,7.72,5.71,5.4,6.12,0.623,226
2020-09-21T00:00:00.000Z,1.6,8.05,4.09,2.4,4.67,1.366,211
2020-09-22T00:00:00.000Z,0.47,6.25,1.6,1.12,2.4,0.907,310
2020-09-23T00:00:00.000Z,0.75,15.63,1.82,1.42,2.42,1.572,400
2020-09-24T00:00:00.000Z,1.6,29.02,3.5,2.65,4.42,2.562,418
2020-09-25T00:00:00.000Z,0,3.1,0.32,0.2,0.56,0.503,315
2020-09-26T00:00:00.000Z,0,4.67,0.8,0.3,1.4,0.988,250
2020-09-27T00:00:00.000Z,0.28,7.3,2.8,1.6,3.27,1.306,206
2020-09-28T00:00:00.000Z,0,6.92,1.46,0.45,2.24,1.17,256
2020-09-29T00:00:00.000Z,0.2,4.05,1.13,0.81,1.77,0.81,240
2020-09-30T00:00:00.000Z,1.8,54.25,3.12,2.65,4.42,6.655,354
2020-10-01T00:00:00.000Z,3.62,39.53,5.92,4.96,8.14,3.816,289
2020-10-02T00:00:00.000Z,0,9.19,4.4,0.41,5.98,2.623,261
2020-10-03T00:00:00.000Z,0,3.5,0.2,0.1,0.32,0.488,249
